"Symbol","ENSG","trt","untrt","baseMean","log2FoldChange","pvalue","padj","Entrez"
"AC012313.7","ENSG00000269106",6.248,6.16,6.204,-0.125,0.8699,0.9615,""
"RF00017","ENSG00000274505",6.31,6.302,6.306,0.105,0.8706,0.9616,""
"ZBTB8A","ENSG00000160062",8.621,8.489,8.555,-0.037,0.8706,0.9616,"653121"
"NXN","ENSG00000167693",10.756,10.803,10.779,0.022,0.871,0.9617,"64359"
"AC211486.4","ENSG00000275121",6.871,6.848,6.859,0.02,0.871,0.9617,""
"AJ011931.1","ENSG00000276633",6.31,6.422,6.366,-0.026,0.8709,0.9617,""
"AL162274.1","ENSG00000273521",6.829,6.717,6.773,-0.026,0.8709,0.9617,""
"LINC02303","ENSG00000258616",6.273,6.233,6.253,0.082,0.871,0.9617,"105370479"
"AC114763.1","ENSG00000228043",6.532,6.558,6.545,-0.101,0.8712,0.9619,""
"AL365357.1","ENSG00000213058",7,6.886,6.943,-0.024,0.8718,0.9621,""
"IP6K3","ENSG00000161896",7.164,7.048,7.106,-0.026,0.8718,0.9621,"117283"
"AC002451.2","ENSG00000279525",6.478,6.28,6.379,-0.02,0.8715,0.9621,""
"SNAPC2","ENSG00000104976",8.939,8.605,8.772,-0.027,0.8715,0.9621,"6618"
"LINC00877","ENSG00000241163",6.28,6.515,6.397,-0.062,0.8719,0.9621,"285286"
"AL021707.5","ENSG00000244491",6.433,6.294,6.363,-0.041,0.8716,0.9621,""
"PPM1K","ENSG00000163644",9.698,9.673,9.686,0.044,0.8717,0.9621,"152926"
"LINC00265-2P","ENSG00000224827",6.314,6.298,6.306,-0.09,0.8715,0.9621,""
"UBR2","ENSG00000024048",10.578,10.46,10.519,-0.047,0.8718,0.9621,"23304"
"AC009812.3","ENSG00000254162",6.756,6.776,6.766,0.451,0.872,0.9622,""
"CLSTN2","ENSG00000158258",7.291,7.162,7.226,0.017,0.8725,0.9626,"64084"
"ZNF114","ENSG00000178150",6.308,6.383,6.345,-0.059,0.8725,0.9626,"163071"
"AC098850.3","ENSG00000266302",7.355,7.341,7.348,0.022,0.8727,0.9627,""
"POLB","ENSG00000070501",7.791,7.952,7.872,-0.071,0.8726,0.9627,"5423"
"AL049597.2","ENSG00000261737",6.736,6.712,6.724,-0.058,0.8727,0.9627,"105378828"
"AC006547.3","ENSG00000268292",6.329,6.336,6.333,-0.065,0.8729,0.9628,""
"ZNF592","ENSG00000166716",10.034,9.94,9.987,0.032,0.873,0.9628,"9640"
"AC211429.1","ENSG00000242073",6.382,6.228,6.305,-0.023,0.8731,0.9629,""
"MIR99AHG","ENSG00000215386",7.596,8.378,7.987,-0.031,0.8744,0.963,"388815"
"IRF6","ENSG00000117595",7.439,7.286,7.362,0.07,0.8746,0.963,"3664"
"LRRK2","ENSG00000188906",10.39,9.887,10.138,-0.021,0.8737,0.963,"120892"
"AP001528.3","ENSG00000280339",7.822,7.579,7.7,-0.035,0.8739,0.963,""
"AHDC1","ENSG00000126705",9.255,9.719,9.487,0.017,0.8744,0.963,"27245"
"PNMA8B","ENSG00000204851",7.852,7.827,7.84,-0.036,0.8742,0.963,"57469"
"IL13RA1","ENSG00000131724",10.827,10.827,10.827,0.022,0.8749,0.963,"3597"
"ADD3-AS1","ENSG00000203876",6.779,6.819,6.799,-0.022,0.8739,0.963,""
"FAM243A","ENSG00000222018",6.461,6.576,6.519,-0.091,0.8734,0.963,"102723451"
"ZNF546","ENSG00000187187",7.741,8.04,7.891,0.024,0.8746,0.963,"339327"
"DPY19L2P2","ENSG00000170629",7.441,7.673,7.557,0.043,0.8744,0.963,"349152"
"AC093249.6","ENSG00000261840",6.808,6.886,6.847,0.101,0.8748,0.963,"730183"
"MAPK1IP1L","ENSG00000168175",10.567,10.352,10.459,0.02,0.8745,0.963,"93487"
"ZMYM2","ENSG00000121741",10.717,10.714,10.716,0.042,0.8741,0.963,"7750"
"GK-AS1","ENSG00000243055",6.708,6.62,6.664,0.046,0.874,0.963,""
"AL139220.1","ENSG00000227163",6.338,6.325,6.332,-0.05,0.8736,0.963,""
"H2AFX","ENSG00000188486",8.453,8.379,8.416,-0.101,0.8739,0.963,"3014"
"RPL28","ENSG00000108107",13.174,13.309,13.241,0.025,0.8746,0.963,"6158"
"ELF3","ENSG00000163435",6.38,6.572,6.476,-0.037,0.8734,0.963,"1999"
"TM9SF3","ENSG00000077147",12.4,12.255,12.327,0.026,0.8735,0.963,"56889"
"TNRC18","ENSG00000182095",12.149,11.967,12.058,0.024,0.8747,0.963,"84629"
"FAM234A","ENSG00000167930",11.3,11.201,11.251,-0.018,0.8741,0.963,"83986"
"AC007228.1","ENSG00000268568",6.897,6.719,6.808,0.251,0.8739,0.963,""
"NHEJ1","ENSG00000187736",8.441,8.364,8.402,-0.051,0.8744,0.963,"79840"
"MUC4","ENSG00000145113",6.394,6.419,6.406,0.074,0.874,0.963,"4585"
"AC020917.2","ENSG00000267703",6.259,6.238,6.249,-0.046,0.8744,0.963,""
"AC005865.2","ENSG00000250770",6.406,6.477,6.442,-0.078,0.8748,0.963,""
"PBLD","ENSG00000108187",8.317,8.258,8.287,0.089,0.875,0.963,"64081"
"AL590666.3","ENSG00000237588",6.382,6.361,6.371,-0.05,0.8743,0.963,""
"C10orf143","ENSG00000237489",7.221,7.357,7.289,0.066,0.8744,0.963,"387723"
"DHRSX-IT1","ENSG00000223571",6.363,6.341,6.352,-0.135,0.8749,0.963,""
"OR9H1P","ENSG00000228336",6.732,6.7,6.716,-0.082,0.8732,0.963,""
"TRPM7","ENSG00000092439",11.134,10.965,11.05,-0.129,0.8751,0.9631,"54822"
"RCL1","ENSG00000120158",7.726,7.759,7.742,0.062,0.8752,0.9632,"10171"
"CRYAB","ENSG00000109846",11.079,10.593,10.836,0.029,0.8755,0.9634,"1410"
"SRGAP1","ENSG00000196935",10.753,10.876,10.815,0.029,0.8756,0.9634,"57522"
"ZNF626","ENSG00000188171",8.066,8.235,8.151,0.014,0.8756,0.9634,"199777"
"AC012313.10","ENSG00000279611",6.758,6.736,6.747,-0.035,0.8755,0.9634,""
"ELL","ENSG00000105656",9.137,8.838,8.988,-0.02,0.8757,0.9635,"8178"
"FUK","ENSG00000157353",8.483,8.337,8.41,-0.024,0.8758,0.9635,"197258"
"PPP1R11","ENSG00000204619",10.108,10.121,10.115,0.051,0.8759,0.9635,"6992"
"AC092338.1","ENSG00000260635",6.272,6.262,6.267,-0.022,0.876,0.9635,""
"DDX60L","ENSG00000181381",9.835,9.45,9.642,-0.026,0.8763,0.9636,"91351"
"SEC16B","ENSG00000120341",7.692,8.22,7.956,0.016,0.8764,0.9636,"89866"
"MMP10","ENSG00000166670",6.337,6.769,6.553,-0.09,0.8761,0.9636,"4319"
"INTS8","ENSG00000164941",9.506,9.573,9.539,0.057,0.8762,0.9636,"55656"
"HRG","ENSG00000113905",6.536,6.446,6.491,-0.017,0.8765,0.9636,"3273"
"FBXL13","ENSG00000161040",6.559,6.841,6.7,-0.031,0.8764,0.9636,"222235"
"FRAT2","ENSG00000181274",7.514,7.409,7.462,-0.04,0.8762,0.9636,"23401"
"CTBP1-AS","ENSG00000280927",7.16,7.226,7.193,-0.15,0.8765,0.9636,"285463"
"KCNJ14","ENSG00000182324",6.993,6.893,6.943,-0.091,0.8761,0.9636,"3770"
"PRMT7","ENSG00000132600",9.565,9.3,9.432,0.085,0.8767,0.9637,"54496"
"XPNPEP3","ENSG00000196236",8.899,8.821,8.86,-0.111,0.8766,0.9637,"63929"
"ZNF469","ENSG00000225614",9.774,9.745,9.759,-0.048,0.8769,0.9638,"84627"
"MIR645","ENSG00000208018",6.204,6.321,6.262,-0.02,0.8769,0.9638,"693230"
"MMP12","ENSG00000262406",6.314,6.381,6.347,0.077,0.8771,0.9639,"4321"
"TMEM260","ENSG00000070269",9.132,9.29,9.211,-0.099,0.8771,0.9639,"54916"
"PDE4D","ENSG00000113448",8.92,8.604,8.762,0.015,0.8785,0.9641,"5144"
"IGF2","ENSG00000167244",12.889,12.454,12.671,-0.041,0.8784,0.9641,"3481"
"DGLUCY","ENSG00000133943",8.98,9.691,9.336,-0.025,0.8779,0.9641,"80017"
"AL662884.2","ENSG00000284829",6.421,6.647,6.534,-0.089,0.8778,0.9641,""
"RPL9","ENSG00000163682",11.668,11.618,11.643,-0.114,0.8786,0.9641,"6133"
"SVIL2P","ENSG00000234814",7.529,7.725,7.627,-0.041,0.8786,0.9641,""
"KPNA4","ENSG00000186432",10.854,11.038,10.946,0.023,0.8779,0.9641,"3840"
"FAM3C2","ENSG00000174028",8.425,8.263,8.344,-0.017,0.8788,0.9641,""
"UTP20","ENSG00000120800",10.111,9.63,9.87,-0.015,0.8778,0.9641,"27340"
"LINC01204","ENSG00000229563",6.816,6.781,6.799,-0.032,0.8777,0.9641,"101927528"
"PHF20","ENSG00000025293",10.662,10.69,10.676,0.023,0.8782,0.9641,"51230"
"PSMC4","ENSG00000013275",10.158,9.973,10.065,0.022,0.8788,0.9641,"5704"
"FAM72D","ENSG00000215784",6.507,6.727,6.617,0.013,0.8775,0.9641,"728833"
"RN7SL32P","ENSG00000263941",6.462,6.465,6.464,-0.06,0.8785,0.9641,""
"AC090607.1","ENSG00000259322",6.271,6.403,6.337,-0.038,0.8782,0.9641,""
"LINC02408","ENSG00000203585",6.251,6.286,6.268,0.043,0.8787,0.9641,"100507175"
"KIN","ENSG00000151657",8.441,8.383,8.412,0.093,0.8777,0.9641,"22944"
"TSEN34","ENSG00000170892",9.734,9.586,9.66,0.036,0.8773,0.9641,"79042"
"AC008507.3","ENSG00000278895",6.916,6.851,6.884,0.148,0.878,0.9641,""
"RPL9P29","ENSG00000267355",6.411,6.491,6.451,-0.052,0.8788,0.9641,""
"SGPL1","ENSG00000166224",9.8,9.853,9.826,0.083,0.8776,0.9641,"8879"
"ZNF674-AS1","ENSG00000230844",7.16,7.197,7.178,0.066,0.8775,0.9641,"401588"
"AC108865.2","ENSG00000272218",6.256,6.286,6.271,0.038,0.8779,0.9641,""
"RANBP10","ENSG00000141084",9.369,9.391,9.38,0.159,0.8774,0.9641,"57610"
"OR10AH1P","ENSG00000272595",6.492,6.511,6.502,-0.057,0.8782,0.9641,""
"MTND5P28","ENSG00000223549",6.236,6.259,6.248,-0.064,0.8787,0.9641,""
"AC068533.2","ENSG00000229886",6.196,6.304,6.25,0.08,0.8786,0.9641,""
"LAMB1","ENSG00000091136",15.271,14.457,14.864,-0.085,0.8797,0.9644,"3912"
"STON1-GTF2A1L","ENSG00000068781",8.046,7.585,7.815,0.044,0.8797,0.9644,"286749"
"MYO10","ENSG00000145555",12.976,12.826,12.901,-0.033,0.8793,0.9644,"4651"
"UBL5","ENSG00000198258",10.478,10.239,10.359,-0.046,0.8795,0.9644,"59286"
"FLOT1","ENSG00000137312",11.838,11.632,11.735,-0.187,0.8791,0.9644,"10211"
"ST6GAL2","ENSG00000144057",6.419,6.449,6.434,0.089,0.8796,0.9644,"84620"
"AC091563.1","ENSG00000254343",6.317,6.268,6.292,-0.028,0.8794,0.9644,""
"AL117348.2","ENSG00000255835",6.333,6.386,6.359,0.096,0.8795,0.9644,""
"SPG21","ENSG00000090487",11.051,10.954,11.003,0.136,0.8792,0.9644,"51324"
"AC084824.1","ENSG00000257511",6.713,6.751,6.732,-0.149,0.8793,0.9644,""
"AC104964.2","ENSG00000261451",6.525,6.451,6.488,-0.11,0.8796,0.9644,""
"STEAP2-AS1","ENSG00000227646",6.273,6.202,6.238,0.073,0.8797,0.9644,"100874100"
"TSSK3","ENSG00000162526",7.056,7.232,7.144,0.041,0.8799,0.9645,"81629"
"C22orf15","ENSG00000169314",6.828,6.943,6.886,-0.017,0.88,0.9646,"150248"
"LINC01772","ENSG00000226029",7.04,7.144,7.092,0.068,0.8801,0.9646,"107984921"
"LINC00475","ENSG00000225511",6.897,7.127,7.012,-0.066,0.8806,0.9647,"158314"
"SARS","ENSG00000031698",11.27,11.755,11.513,0.118,0.8804,0.9647,"6301"
"ST6GALNAC6","ENSG00000160408",11.997,11.536,11.767,-0.032,0.8805,0.9647,"30815"
"AC005330.1","ENSG00000267372",6.361,6.404,6.382,0.03,0.8802,0.9647,""
"JAKMIP3","ENSG00000188385",6.584,6.845,6.714,-0.139,0.8803,0.9647,"282973"
"AC006116.10","ENSG00000267776",6.571,6.694,6.633,-0.023,0.8805,0.9647,""
"AC135776.4","ENSG00000279165",6.598,6.715,6.656,-0.024,0.8805,0.9647,""
"TBC1D4","ENSG00000136111",9.884,9.447,9.665,0.094,0.8811,0.9648,"9882"
"GPR150","ENSG00000178015",7.164,6.56,6.862,-0.029,0.881,0.9648,"285601"
"FAM19A2","ENSG00000198673",6.98,6.838,6.909,-0.02,0.881,0.9648,"338811"
"CD99","ENSG00000002586",13.064,13.003,13.033,-0.067,0.881,0.9648,"4267"
"AC099689.1","ENSG00000279416",6.348,6.215,6.282,0.015,0.8809,0.9648,""
"AL136382.1","ENSG00000285210",6.635,6.571,6.603,0.024,0.8807,0.9648,""
"BFAR","ENSG00000103429",10.44,10.37,10.405,-0.095,0.8811,0.9648,"51283"
"IP6K1","ENSG00000176095",10.61,10.542,10.576,-0.031,0.8811,0.9648,"9807"
"DUXAP8","ENSG00000271672",6.322,6.32,6.321,0.052,0.881,0.9648,""
"KANK4","ENSG00000132854",6.329,6.628,6.479,0.026,0.8813,0.9649,"163782"
"PSMG1","ENSG00000183527",8.671,8.736,8.703,-0.059,0.8813,0.9649,"8624"
"NUMA1","ENSG00000137497",12.806,13.071,12.938,-0.044,0.8815,0.965,"4926"
"TSPAN31","ENSG00000135452",9.35,9.326,9.338,-0.017,0.8816,0.9651,"6302"
"CASQ1","ENSG00000143318",6.529,6.426,6.477,-0.016,0.8817,0.9651,"844"
"SLC35E3","ENSG00000175782",9.5,9.267,9.383,-0.036,0.8817,0.9651,"55508"
"TAB3","ENSG00000157625",9.448,9.61,9.529,-0.055,0.8819,0.9652,"257397"
"MT-ND1","ENSG00000198888",15.023,14.795,14.909,-0.124,0.8821,0.9654,"4535"
"JMJD4","ENSG00000081692",8.456,8.759,8.608,0.027,0.8822,0.9655,"65094"
"NCOA7","ENSG00000111912",10.708,10.305,10.507,-0.019,0.8826,0.9656,"135112"
"AC087292.1","ENSG00000263165",6.559,6.363,6.461,0.03,0.8824,0.9656,""
"CCT2","ENSG00000166226",10.826,10.664,10.745,0.102,0.8824,0.9656,"10576"
"PKP2","ENSG00000057294",6.828,6.678,6.753,-0.024,0.8826,0.9656,"5318"
"PLEKHB1","ENSG00000021300",6.755,6.859,6.807,-0.244,0.8826,0.9656,"58473"
"AC060766.4","ENSG00000267547",7.112,6.864,6.988,-0.035,0.8827,0.9657,""
"EPHX2","ENSG00000120915",7.127,7.33,7.228,-0.021,0.8829,0.9658,"2053"
"AC100821.2","ENSG00000260955",6.196,6.357,6.276,-0.046,0.8829,0.9658,"105375839"
"INPP5J","ENSG00000185133",6.37,6.544,6.457,0.055,0.883,0.9658,"27124"
"ADAMTSL1","ENSG00000178031",10.007,10.875,10.441,0.016,0.886,0.9659,"92949"
"FAM102A","ENSG00000167106",9.558,10.402,9.98,0.016,0.8836,0.9659,"399665"
"RTKN2","ENSG00000182010",7.353,8.265,7.809,-0.029,0.8858,0.9659,"219790"
"APOE","ENSG00000130203",11.044,11.279,11.161,0.022,0.8847,0.9659,"348"
"KCTD20","ENSG00000112078",11.547,11.005,11.276,-0.016,0.8848,0.9659,"222658"
"HSD17B1","ENSG00000108786",8.09,8.165,8.127,0.03,0.8846,0.9659,"3292"
"AC010323.1","ENSG00000167774",6.502,6.572,6.537,-0.087,0.8843,0.9659,""
"NPHP3","ENSG00000113971",9.885,9.865,9.875,0.034,0.885,0.9659,"27031"
"CCDC178","ENSG00000166960",6.421,6.653,6.537,0.025,0.8846,0.9659,"374864"
"ABCB6","ENSG00000115657",8.969,9.025,8.997,0.021,0.8843,0.9659,"10058"
"PHETA1","ENSG00000198324",9.033,8.747,8.89,0.041,0.8853,0.9659,"144717"
"POLN","ENSG00000130997",7.263,7.351,7.307,0.021,0.8833,0.9659,"353497"
"COX7B","ENSG00000131174",9.851,10.026,9.938,0.029,0.8852,0.9659,"1349"
"AC084398.2","ENSG00000257202",6.466,6.202,6.334,-0.061,0.8857,0.9659,""
"RPSAP54","ENSG00000213621",7.037,7.124,7.08,-0.025,0.886,0.9659,""
"RMND5B","ENSG00000145916",9.109,9.322,9.215,-0.108,0.8837,0.9659,"64777"
"PTPN1","ENSG00000196396",9.925,9.829,9.877,-0.022,0.8837,0.9659,"5770"
"AC091167.7","ENSG00000284626",6.473,6.505,6.489,-0.015,0.8856,0.9659,""
"PRSS21","ENSG00000007038",6.293,6.333,6.313,-0.024,0.884,0.9659,"10942"
"ARAP1-AS1","ENSG00000256007",6.343,6.34,6.342,0.024,0.884,0.9659,""
"LINC00894","ENSG00000235703",7.398,7.425,7.412,0.024,0.886,0.9659,"100272228"
"NLE1","ENSG00000073536",8.688,8.977,8.832,-0.019,0.8859,0.9659,"54475"
"AC091180.2","ENSG00000248714",6.233,6.44,6.336,-0.047,0.8842,0.9659,"102724596"
"MOAP1","ENSG00000165943",9.021,8.733,8.877,0.02,0.8858,0.9659,"64112"
"ZNF514","ENSG00000144026",8.535,8.798,8.667,-0.056,0.8854,0.9659,"84874"
"PGS1","ENSG00000087157",9.787,9.637,9.712,-0.089,0.8847,0.9659,"9489"
"SLC6A12","ENSG00000111181",6.454,6.493,6.473,0.126,0.8845,0.9659,"6539"
"HMGB1P27","ENSG00000230611",6.312,6.223,6.267,-0.059,0.8857,0.9659,""
"GPN2","ENSG00000142751",9.638,9.496,9.567,0.056,0.8858,0.9659,"54707"
"ARHGEF7","ENSG00000102606",10.678,10.53,10.604,0.012,0.8844,0.9659,"8874"
"RHOXF1P3","ENSG00000282933",6.454,6.33,6.392,-0.029,0.885,0.9659,""
"DENND6B","ENSG00000205593",7.944,7.963,7.954,0.026,0.8853,0.9659,"414918"
"AC026979.3","ENSG00000272375",6.452,6.489,6.471,0.03,0.8855,0.9659,""
"TMX2","ENSG00000213593",10.173,10,10.086,-0.063,0.8846,0.9659,"51075"
"AC078880.1","ENSG00000257519",6.212,6.315,6.263,-0.019,0.8851,0.9659,""
"LINC00472","ENSG00000233237",7.07,6.957,7.013,-0.022,0.8845,0.9659,"79940"
"NPIPB2","ENSG00000234719",7.474,7.488,7.481,0.07,0.886,0.9659,"729978"
"RN7SL574P","ENSG00000266075",6.274,6.303,6.289,-0.039,0.8841,0.9659,""
"AC233728.1","ENSG00000233250",6.45,6.295,6.372,-0.079,0.8834,0.9659,""
"SMIM17","ENSG00000268182",6.433,6.469,6.451,-0.113,0.8855,0.9659,"147670"
"AC097626.1","ENSG00000285679",6.321,6.351,6.336,0.046,0.8849,0.9659,""
"AF287957.1","ENSG00000271743",6.332,6.413,6.373,-0.149,0.8836,0.9659,""
"ZNF681","ENSG00000196172",7.14,7.21,7.175,0.067,0.8848,0.9659,"148213"
"GOLGA2P11","ENSG00000260062",6.442,6.445,6.444,0.039,0.8847,0.9659,""
"AC097532.2","ENSG00000272769",6.349,6.398,6.373,0.091,0.8835,0.9659,""
"RN7SL403P","ENSG00000240625",6.256,6.299,6.277,0.042,0.8854,0.9659,""
"AL353804.2","ENSG00000271199",6.292,6.242,6.267,-0.055,0.8833,0.9659,""
"POC1B-AS1","ENSG00000270344",7.232,7.15,7.191,0.086,0.8849,0.9659,""
"UBQLNL","ENSG00000175518",6.722,6.688,6.705,-0.136,0.8836,0.9659,"143630"
"GGTLC2","ENSG00000100121",6.486,6.39,6.438,-0.061,0.8832,0.9659,"91227"
"AC073862.4","ENSG00000279976",6.353,6.335,6.344,0.105,0.8851,0.9659,""
"RPL21P10","ENSG00000239272",6.231,6.278,6.255,-0.101,0.8851,0.9659,""
"MSX2","ENSG00000120149",7.722,8.26,7.991,-0.018,0.8863,0.9661,"4488"
"ERG28","ENSG00000133935",8.859,9.001,8.93,0.123,0.8863,0.9661,"11161"
"AC090515.2","ENSG00000245975",6.851,6.852,6.851,-0.02,0.8862,0.9661,"101928725"
"LINC01694","ENSG00000233922",6.563,6.683,6.623,-0.046,0.8863,0.9661,"105372840"
"NACC1","ENSG00000160877",10.309,10.173,10.241,-0.069,0.8865,0.9662,"112939"
"TNRC6A","ENSG00000090905",11.591,11.55,11.57,0.157,0.8866,0.9662,"27327"
"TTC9C","ENSG00000162222",8.959,8.876,8.917,0.175,0.8866,0.9662,"283237"
"C4A","ENSG00000244731",9.674,10.083,9.879,-0.022,0.887,0.9663,"110384692"
"NR4A3","ENSG00000119508",8.866,7.619,8.243,-0.028,0.8868,0.9663,"8013"
"CSKMT","ENSG00000214756",7.407,7.475,7.441,0.014,0.887,0.9663,"751071"
"AK3","ENSG00000147853",11.368,11.309,11.339,0.098,0.8871,0.9663,"50808"
"KLRD1","ENSG00000134539",7.576,7.489,7.532,0.075,0.8873,0.9663,"3824"
"RPL15P3","ENSG00000212802",6.725,6.619,6.672,0.027,0.8869,0.9663,""
"AL157786.1","ENSG00000232934",6.609,6.533,6.571,0.034,0.8868,0.9663,""
"AL035413.1","ENSG00000230424",6.93,6.812,6.871,-0.088,0.887,0.9663,"101927895"
"MAP10","ENSG00000212916",7.153,7.146,7.15,-0.089,0.887,0.9663,"54627"
"AL139246.3","ENSG00000228037",6.319,6.286,6.302,-0.097,0.8871,0.9663,"100996583"
"CDK5RAP2","ENSG00000136861",10.672,10.955,10.814,-0.023,0.8875,0.9664,"55755"
"TTC7A","ENSG00000068724",10.116,10.201,10.158,0.022,0.8874,0.9664,"57217"
"LRRC59","ENSG00000108829",11.274,10.815,11.045,-0.035,0.8876,0.9665,"55379"
"PRKACA","ENSG00000072062",10.711,10.8,10.755,-0.063,0.8877,0.9666,"5566"
"CDH6","ENSG00000113361",10.441,11.557,10.999,0.127,0.888,0.9667,"1004"
"SLC2A10","ENSG00000197496",11.338,10.882,11.11,0.033,0.888,0.9667,"81031"
"ZNF618","ENSG00000157657",9.33,9.836,9.583,0.085,0.8884,0.9667,"114991"
"TMEM61","ENSG00000143001",6.554,6.293,6.423,0.031,0.8886,0.9667,"199964"
"RAD51AP1","ENSG00000111247",6.878,7.039,6.959,-0.077,0.8878,0.9667,"10635"
"AC106822.1","ENSG00000249198",6.297,6.27,6.284,0.059,0.8883,0.9667,""
"APLP2","ENSG00000084234",14.686,14.6,14.643,-0.111,0.8883,0.9667,"334"
"AC013643.3","ENSG00000279302",6.463,6.524,6.493,0.064,0.8882,0.9667,""
"ENPP7P11","ENSG00000250942",6.274,6.241,6.258,0.076,0.8884,0.9667,""
"AC026464.1","ENSG00000259900",6.241,6.254,6.247,-0.111,0.8886,0.9667,""
"PEX19","ENSG00000162735",10.901,10.831,10.866,-0.169,0.8883,0.9667,"5824"
"POLG2","ENSG00000256525",7.871,7.859,7.865,0.107,0.8886,0.9667,"11232"
"AC055839.1","ENSG00000282980",6.391,6.341,6.366,-0.064,0.8883,0.9667,""
"PGBD2","ENSG00000185220",7.361,7.551,7.456,0.059,0.8887,0.9668,"267002"
"MYL12B","ENSG00000118680",12.75,12.253,12.502,-0.011,0.8897,0.9669,"103910"
"RARB","ENSG00000077092",8.449,8.78,8.614,-0.019,0.8895,0.9669,"5915"
"AC130650.2","ENSG00000276564",6.52,6.257,6.388,-0.028,0.8897,0.9669,""
"ROBO2","ENSG00000185008",7.281,7.53,7.405,0.018,0.8896,0.9669,"6092"
"RASSF7","ENSG00000099849",7.417,6.995,7.206,-0.018,0.8892,0.9669,"8045"
"AC242376.1","ENSG00000259414",6.366,6.381,6.374,-0.018,0.8892,0.9669,""
"AL450992.2","ENSG00000234614",6.826,6.876,6.851,0.024,0.8897,0.9669,""
"EIF4A3","ENSG00000141543",10.27,10.091,10.181,-0.02,0.8894,0.9669,"9775"
"AMMECR1L","ENSG00000144233",9.723,9.421,9.572,0.019,0.889,0.9669,"83607"
"PLPP5","ENSG00000147535",9.243,9.342,9.293,-0.048,0.8892,0.9669,"84513"
"MAPKBP1","ENSG00000137802",9.797,9.599,9.698,0.103,0.8898,0.9669,"23005"
"WDFY3","ENSG00000163625",11.364,11.166,11.265,-0.015,0.8896,0.9669,"23001"
"AL353593.1","ENSG00000269890",6.979,7.132,7.055,-0.091,0.8894,0.9669,""
"AC024610.2","ENSG00000279668",6.444,6.521,6.482,0.136,0.8891,0.9669,""
"AL355001.1","ENSG00000223576",6.315,6.412,6.364,-0.027,0.8897,0.9669,""
"MBLAC1","ENSG00000214309",6.935,7.022,6.979,0.024,0.8895,0.9669,"255374"
"AL356966.1","ENSG00000224356",6.478,6.397,6.437,0.028,0.8898,0.9669,""
"RNU4-2","ENSG00000202538",6.16,6.255,6.207,-0.056,0.8896,0.9669,"26834"
"ZNF630","ENSG00000221994",6.79,7.195,6.992,0.026,0.8899,0.967,"57232"
"ALDH1A3","ENSG00000184254",9.912,11.005,10.459,0.02,0.8916,0.9672,"220"
"TNFSF12-TNFSF13","ENSG00000248871",6.534,6.652,6.593,0.018,0.8914,0.9672,"407977"
"CYP3A7-CYP3A51P","ENSG00000282301",6.815,6.654,6.735,-0.022,0.892,0.9672,"100861540"
"AC005786.3","ENSG00000267436",6.738,6.365,6.551,0.017,0.8907,0.9672,""
"MILR1","ENSG00000271605",7.184,7.409,7.296,-0.029,0.8904,0.9672,"284021"
"ZSCAN30","ENSG00000186814",9.126,9.356,9.241,0.064,0.8908,0.9672,"100101467"
"PHYHIPL","ENSG00000165443",6.465,6.233,6.349,-0.023,0.8903,0.9672,"84457"
"MUT","ENSG00000146085",10.177,9.96,10.068,0.027,0.8907,0.9672,"4594"
"EPS8L2","ENSG00000177106",9.994,10.326,10.16,0.014,0.8911,0.9672,"64787"
"WDR3","ENSG00000065183",9.363,9.301,9.332,0.031,0.8902,0.9672,"10885"
"AL080317.3","ENSG00000272356",7.362,7.027,7.195,-0.059,0.8918,0.9672,""
"SEMA6A","ENSG00000092421",7.322,7.237,7.279,0.02,0.8907,0.9672,"57556"
"RIC8A","ENSG00000177963",11.027,10.961,10.994,-0.027,0.8914,0.9672,"60626"
"DALRD3","ENSG00000178149",9.044,9.174,9.109,0.014,0.8903,0.9672,"55152"
"AP003071.4","ENSG00000261625",8.176,7.827,8.002,0.096,0.8906,0.9672,""
"MKLN1-AS","ENSG00000236753",7.212,7.234,7.223,0.024,0.8912,0.9672,"100506881"
"THBS3","ENSG00000169231",10.348,10.557,10.452,0.035,0.8905,0.9672,"7059"
"STXBP5","ENSG00000164506",10.986,10.707,10.846,-0.038,0.8911,0.9672,"134957"
"CCDC78","ENSG00000162004",7.257,7.121,7.189,-0.073,0.8908,0.9672,"124093"
"EDEM1","ENSG00000134109",10.524,10.276,10.4,-0.03,0.892,0.9672,"9695"
"DINOL","ENSG00000285244",6.469,6.455,6.462,0.019,0.8918,0.9672,""
"IFFO1","ENSG00000010295",10.305,10.346,10.325,0.059,0.8916,0.9672,"25900"
"GFOD2","ENSG00000141098",8.655,8.762,8.709,0.1,0.8917,0.9672,"81577"
"AC078925.1","ENSG00000256810",6.304,6.254,6.279,0.032,0.8909,0.9672,""
"AC034198.2","ENSG00000272263",6.382,6.421,6.401,-0.019,0.8909,0.9672,""
"DKFZP434A062","ENSG00000262075",6.682,6.765,6.723,0.053,0.8916,0.9672,"26102"
"C1orf194","ENSG00000179902",6.235,6.285,6.26,-0.066,0.8911,0.9672,"127003"
"AVL9","ENSG00000105778",9.901,9.85,9.875,0.058,0.8908,0.9672,"23080"
"AC022893.1","ENSG00000253636",6.631,6.68,6.655,0.365,0.8911,0.9672,""
"SECISBP2","ENSG00000187742",9.525,9.578,9.551,-0.079,0.8912,0.9672,"79048"
"ZNF358","ENSG00000198816",10.463,10.473,10.468,0.083,0.8916,0.9672,"140467"
